lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,59.515495
-89.72222137451172,3.75,59.378517
-89.72222137451172,7.0833330154418945,59.053253
-89.72222137451172,10.416666984558105,58.873253
-89.72222137451172,13.75,58.636833
-89.72222137451172,17.083332061767578,58.414906
-89.72222137451172,20.41666603088379,58.378357
-89.72222137451172,23.749998092651367,58.164192
-89.72222137451172,27.083332061767578,58.178703
-89.72222137451172,30.41666603088379,57.973183
-89.72222137451172,33.75,57.66015
-89.72222137451172,37.08333206176758,57.823048
-89.72222137451172,40.41666793823242,57.732952
-89.72222137451172,43.75,57.879204
-89.72222137451172,47.08333206176758,57.664604
-89.72222137451172,50.41666793823242,57.40912
-89.72222137451172,53.75,57.207344
-89.72222137451172,57.08333206176758,57.03875
-89.72222137451172,60.41666793823242,57.117603
-89.72222137451172,63.75,57.18034
-89.72222137451172,67.08332824707031,57.25936
-89.72222137451172,70.41666412353516,57.47746
-89.72222137451172,73.74999237060547,57.60917
-89.72222137451172,77.08332824707031,57.827156
-89.72222137451172,80.41666412353516,58.12157
-89.72222137451172,83.74999237060547,58.30236
-89.72222137451172,87.08332824707031,58.49108
-89.72222137451172,90.41666412353516,58.76602
-89.72222137451172,93.74999237060547,59.19526
-89.72222137451172,97.08332824707031,59.678112
-89.72222137451172,100.41666412353516,60.041363
-89.72222137451172,103.74999237060547,60.57483
-89.72222137451172,107.08332824707031,61.05137
-89.72222137451172,110.41666412353516,61.448914
-89.72222137451172,113.74999237060547,61.955994
-89.72222137451172,117.08332824707031,62.601837
-89.72222137451172,120.41666412353516,62.9888
-89.72222137451172,123.74999237060547,63.343285
-89.72222137451172,127.08332824707031,63.69867
-89.72222137451172,130.4166717529297,64.072624
-89.72222137451172,133.75,64.53304
-89.72222137451172,137.0833282470703,64.86147
-89.72222137451172,140.4166717529297,65.3279
-89.72222137451172,143.75,65.83427
-89.72222137451172,147.0833282470703,66.0739
-89.72222137451172,150.4166717529297,66.37637
-89.72222137451172,153.75,66.82468
-89.72222137451172,157.0833282470703,67.09055
-89.72222137451172,160.4166717529297,67.30394
-89.72222137451172,163.75,67.49367
-89.72222137451172,167.0833282470703,67.820885
-89.72222137451172,170.4166717529297,68.14491
-89.72222137451172,173.75,68.19213
-89.72222137451172,177.0833282470703,68.30126
-89.72222137451172,180.4166717529297,68.56415
-89.72222137451172,183.75,68.51308
-89.72222137451172,187.0833282470703,68.60939
-89.72222137451172,190.4166717529297,68.59802
-89.72222137451172,193.75,68.537704
-89.72222137451172,197.0833282470703,68.53289
-89.72222137451172,200.4166717529297,68.44369
-89.72222137451172,203.75,68.3492
-89.72222137451172,207.0833282470703,68.17074
-89.72222137451172,210.4166717529297,68.00285
-89.72222137451172,213.75,67.785446
-89.72222137451172,217.0833282470703,67.66483
-89.72222137451172,220.4166717529297,67.39635
-89.72222137451172,223.75,67.16582
-89.72222137451172,227.0833282470703,67.137695
-89.72222137451172,230.4166717529297,66.92195
-89.72222137451172,233.75,66.711815
-89.72222137451172,237.0833282470703,66.5568
-89.72222137451172,240.4166717529297,66.306404
-89.72222137451172,243.75,66.141075
-89.72222137451172,247.0833282470703,66.03056
-89.72222137451172,250.4166717529297,65.9852
-89.72222137451172,253.75,65.747986
-89.72222137451172,257.08331298828125,65.65029
-89.72222137451172,260.4166564941406,65.61482
-89.72222137451172,263.7499694824219,65.667465
-89.72222137451172,267.08331298828125,65.77745
-89.72222137451172,270.4166564941406,65.73444
-89.72222137451172,273.7499694824219,65.632545
-89.72222137451172,277.08331298828125,65.4673
-89.72222137451172,280.4166564941406,65.19684
-89.72222137451172,283.7499694824219,65.048256
-89.72222137451172,287.08331298828125,64.86585
-89.72222137451172,290.4166564941406,64.649155
-89.72222137451172,293.7499694824219,64.58534
-89.72222137451172,297.08331298828125,64.40415
-89.72222137451172,300.4166564941406,64.142
-89.72222137451172,303.7499694824219,63.90069
-89.72222137451172,307.08331298828125,63.555584
-89.72222137451172,310.4166564941406,63.11978
-89.72222137451172,313.7499694824219,62.840904
-89.72222137451172,317.08331298828125,62.5974
-89.72222137451172,320.4166564941406,62.4468
-89.72222137451172,323.7499694824219,61.96883
-89.72222137451172,327.08331298828125,61.735634
-89.72222137451172,330.4166564941406,61.674072
-89.72222137451172,333.7499694824219,61.436817
-89.72222137451172,337.08331298828125,61.26009
-89.72222137451172,340.4166564941406,60.979767
-89.72222137451172,343.7499694824219,60.86037
-89.72222137451172,347.08331298828125,60.660637
-89.72222137451172,350.4166564941406,60.386925
-89.72222137451172,353.7499694824219,60.15616
-89.72222137451172,357.08331298828125,59.836952
-87.5,0.4166666567325592,51.293774
-87.5,3.75,49.79889
-87.5,7.0833330154418945,49.45952
-87.5,10.416666984558105,49.175575
-87.5,13.75,49.042217
