lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,57.434303
-89.72222137451172,3.75,56.996086
-89.72222137451172,7.0833330154418945,56.5859
-89.72222137451172,10.416666984558105,56.294212
-89.72222137451172,13.75,56.0343
-89.72222137451172,17.083332061767578,55.669556
-89.72222137451172,20.41666603088379,55.396446
-89.72222137451172,23.749998092651367,55.022186
-89.72222137451172,27.083332061767578,54.81009
-89.72222137451172,30.41666603088379,54.50647
-89.72222137451172,33.75,54.230957
-89.72222137451172,37.08333206176758,53.995617
-89.72222137451172,40.41666793823242,53.79599
-89.72222137451172,43.75,53.697548
-89.72222137451172,47.08333206176758,53.404472
-89.72222137451172,50.41666793823242,53.288292
-89.72222137451172,53.75,53.273205
-89.72222137451172,57.08333206176758,53.354267
-89.72222137451172,60.41666793823242,53.290936
-89.72222137451172,63.75,53.49531
-89.72222137451172,67.08332824707031,53.53562
-89.72222137451172,70.41666412353516,53.729176
-89.72222137451172,73.74999237060547,53.89494
-89.72222137451172,77.08332824707031,53.858074
-89.72222137451172,80.41666412353516,54.071888
-89.72222137451172,83.74999237060547,54.316273
-89.72222137451172,87.08332824707031,54.635742
-89.72222137451172,90.41666412353516,54.968178
-89.72222137451172,93.74999237060547,55.248974
-89.72222137451172,97.08332824707031,55.68278
-89.72222137451172,100.41666412353516,56.005615
-89.72222137451172,103.74999237060547,56.287
-89.72222137451172,107.08332824707031,56.635334
-89.72222137451172,110.41666412353516,57.12077
-89.72222137451172,113.74999237060547,57.417095
-89.72222137451172,117.08332824707031,57.832226
-89.72222137451172,120.41666412353516,58.346214
-89.72222137451172,123.74999237060547,58.871723
-89.72222137451172,127.08332824707031,59.396454
-89.72222137451172,130.4166717529297,60.00297
-89.72222137451172,133.75,60.400158
-89.72222137451172,137.0833282470703,60.656384
-89.72222137451172,140.4166717529297,60.889336
-89.72222137451172,143.75,61.20225
-89.72222137451172,147.0833282470703,61.424934
-89.72222137451172,150.4166717529297,61.85966
-89.72222137451172,153.75,62.097168
-89.72222137451172,157.0833282470703,62.268383
-89.72222137451172,160.4166717529297,62.59214
-89.72222137451172,163.75,62.848248
-89.72222137451172,167.0833282470703,63.055946
-89.72222137451172,170.4166717529297,63.16883
