lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,57.86079
-89.72222137451172,3.75,57.726185
-89.72222137451172,7.0833330154418945,57.52832
-89.72222137451172,10.416666984558105,57.284626
-89.72222137451172,13.75,56.85459
-89.72222137451172,17.083332061767578,56.538616
-89.72222137451172,20.41666603088379,56.437256
-89.72222137451172,23.749998092651367,56.232414
-89.72222137451172,27.083332061767578,56.060802
-89.72222137451172,30.41666603088379,55.798103
-89.72222137451172,33.75,55.42573
-89.72222137451172,37.08333206176758,55.57862
-89.72222137451172,40.41666793823242,55.299976
-89.72222137451172,43.75,55.132477
-89.72222137451172,47.08333206176758,55.0261
-89.72222137451172,50.41666793823242,54.92699
-89.72222137451172,53.75,54.911884
-89.72222137451172,57.08333206176758,54.76081
-89.72222137451172,60.41666793823242,54.963615
-89.72222137451172,63.75,55.28944
-89.72222137451172,67.08332824707031,55.602783
-89.72222137451172,70.41666412353516,55.95882
-89.72222137451172,73.74999237060547,56.022667
-89.72222137451172,77.08332824707031,56.29673
-89.72222137451172,80.41666412353516,56.440197
-89.72222137451172,83.74999237060547,56.48374
-89.72222137451172,87.08332824707031,56.570366
-89.72222137451172,90.41666412353516,56.630554
-89.72222137451172,93.74999237060547,56.92907
-89.72222137451172,97.08332824707031,57.297565
-89.72222137451172,100.41666412353516,57.656563
-89.72222137451172,103.74999237060547,58.110115
-89.72222137451172,107.08332824707031,58.435535
-89.72222137451172,110.41666412353516,58.694588
-89.72222137451172,113.74999237060547,59.045433
-89.72222137451172,117.08332824707031,59.450096
-89.72222137451172,120.41666412353516,59.62691
-89.72222137451172,123.74999237060547,59.774933
-89.72222137451172,127.08332824707031,60.037865
-89.72222137451172,130.4166717529297,60.22116
-89.72222137451172,133.75,60.61432
-89.72222137451172,137.0833282470703,60.95222
-89.72222137451172,140.4166717529297,61.20983
-89.72222137451172,143.75,61.397114
-89.72222137451172,147.0833282470703,61.473766
-89.72222137451172,150.4166717529297,61.72718
-89.72222137451172,153.75,62.0886
-89.72222137451172,157.0833282470703,62.274628
-89.72222137451172,160.4166717529297,62.313377
-89.72222137451172,163.75,62.418068
-89.72222137451172,167.0833282470703,62.71485
-89.72222137451172,170.4166717529297,63.04533
-89.72222137451172,173.75,63.311657
-89.72222137451172,177.0833282470703,63.66501
-89.72222137451172,180.4166717529297,63.91105
-89.72222137451172,183.75,63.867554
-89.72222137451172,187.0833282470703,63.86628
-89.72222137451172,190.4166717529297,63.913708
-89.72222137451172,193.75,64.11438
-89.72222137451172,197.0833282470703,64.213425
-89.72222137451172,200.4166717529297,64.19072
-89.72222137451172,203.75,64.064445
-89.72222137451172,207.0833282470703,64.06627
-89.72222137451172,210.4166717529297,64.043564
-89.72222137451172,213.75,63.85186
-89.72222137451172,217.0833282470703,63.722717
-89.72222137451172,220.4166717529297,63.48484
-89.72222137451172,223.75,63.316673
-89.72222137451172,227.0833282470703,63.205494
-89.72222137451172,230.4166717529297,63.139244
-89.72222137451172,233.75,62.966846
-89.72222137451172,237.0833282470703,62.88555
-89.72222137451172,240.4166717529297,62.69441
-89.72222137451172,243.75,62.719444
-89.72222137451172,247.0833282470703,62.65978
-89.72222137451172,250.4166717529297,62.471657
-89.72222137451172,253.75,62.391296
-89.72222137451172,257.08331298828125,62.34489
-89.72222137451172,260.4166564941406,62.2472
-89.72222137451172,263.7499694824219,62.362236
-89.72222137451172,267.08331298828125,62.41507
-89.72222137451172,270.4166564941406,62.595997
-89.72222137451172,273.7499694824219,62.556293
-89.72222137451172,277.08331298828125,62.338097
-89.72222137451172,280.4166564941406,62.084675
-89.72222137451172,283.7499694824219,61.861256
-89.72222137451172,287.08331298828125,61.75464
-89.72222137451172,290.4166564941406,61.64804
-89.72222137451172,293.7499694824219,61.535927
-89.72222137451172,297.08331298828125,61.636646
-89.72222137451172,300.4166564941406,61.38603
-89.72222137451172,303.7499694824219,61.18697
-89.72222137451172,307.08331298828125,60.88559
-89.72222137451172,310.4166564941406,60.67646
-89.72222137451172,313.7499694824219,60.49839
-89.72222137451172,317.08331298828125,60.390392
-89.72222137451172,320.4166564941406,60.259605
-89.72222137451172,323.7499694824219,60.090046
-89.72222137451172,327.08331298828125,59.961548
-89.72222137451172,330.4166564941406,60.026337
-89.72222137451172,333.7499694824219,59.775566
-89.72222137451172,337.08331298828125,59.68685
-89.72222137451172,340.4166564941406,59.379005
-89.72222137451172,343.7499694824219,59.10722
-89.72222137451172,347.08331298828125,58.968525
-89.72222137451172,350.4166564941406,58.62389
-89.72222137451172,353.7499694824219,58.40669
-89.72222137451172,357.08331298828125,58.176544
