lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,58.1018
-89.72222137451172,3.75,57.863686
-89.72222137451172,7.0833330154418945,57.67743
-89.72222137451172,10.416666984558105,57.4966
-89.72222137451172,13.75,57.28594
-89.72222137451172,17.083332061767578,57.15843
-89.72222137451172,20.41666603088379,57.207592
-89.72222137451172,23.749998092651367,56.85154
-89.72222137451172,27.083332061767578,56.66216
-89.72222137451172,30.41666603088379,56.409252
-89.72222137451172,33.75,56.165607
-89.72222137451172,37.08333206176758,56.054546
-89.72222137451172,40.41666793823242,55.943382
-89.72222137451172,43.75,55.796173
-89.72222137451172,47.08333206176758,55.702362
-89.72222137451172,50.41666793823242,55.733776
-89.72222137451172,53.75,55.718628
-89.72222137451172,57.08333206176758,55.701435
-89.72222137451172,60.41666793823242,55.867413
-89.72222137451172,63.75,56.05794
-89.72222137451172,67.08332824707031,56.24873
-89.72222137451172,70.41666412353516,56.519733
-89.72222137451172,73.74999237060547,56.787468
-89.72222137451172,77.08332824707031,57.074036
-89.72222137451172,80.41666412353516,57.398205
-89.72222137451172,83.74999237060547,57.84657
-89.72222137451172,87.08332824707031,58.43697
-89.72222137451172,90.41666412353516,58.83007
-89.72222137451172,93.74999237060547,59.38249
-89.72222137451172,97.08332824707031,59.692802
-89.72222137451172,100.41666412353516,59.820507
-89.72222137451172,103.74999237060547,60.121693
-89.72222137451172,107.08332824707031,60.410736
-89.72222137451172,110.41666412353516,60.59909
-89.72222137451172,113.74999237060547,60.65935
-89.72222137451172,117.08332824707031,60.8614
-89.72222137451172,120.41666412353516,61.10502
-89.72222137451172,123.74999237060547,61.294044
-89.72222137451172,127.08332824707031,61.614147
-89.72222137451172,130.4166717529297,62.126972
-89.72222137451172,133.75,62.544727
-89.72222137451172,137.0833282470703,62.796844
-89.72222137451172,140.4166717529297,62.9916
-89.72222137451172,143.75,63.148815
-89.72222137451172,147.0833282470703,63.17878
-89.72222137451172,150.4166717529297,63.08488
-89.72222137451172,153.75,63.33673
-89.72222137451172,157.0833282470703,63.468117
-89.72222137451172,160.4166717529297,63.58003
-89.72222137451172,163.75,63.844086
-89.72222137451172,167.0833282470703,63.815956
-89.72222137451172,170.4166717529297,63.896545
-89.72222137451172,173.75,63.963814
-89.72222137451172,177.0833282470703,64.0844
-89.72222137451172,180.4166717529297,64.2807
-89.72222137451172,183.75,64.31227
-89.72222137451172,187.0833282470703,64.1967
-89.72222137451172,190.4166717529297,64.11905
-89.72222137451172,193.75,64.13862
-89.72222137451172,197.0833282470703,64.14267
-89.72222137451172,200.4166717529297,64.17289
-89.72222137451172,203.75,64.14397
-89.72222137451172,207.0833282470703,64.00336
-89.72222137451172,210.4166717529297,63.989372
-89.72222137451172,213.75,64.04273
-89.72222137451172,217.0833282470703,63.90145
-89.72222137451172,220.4166717529297,63.968616
-89.72222137451172,223.75,63.90725
-89.72222137451172,227.0833282470703,63.950645
-89.72222137451172,230.4166717529297,63.865955
-89.72222137451172,233.75,63.789776
-89.72222137451172,237.0833282470703,63.68401
-89.72222137451172,240.4166717529297,63.536865
-89.72222137451172,243.75,63.414032
-89.72222137451172,247.0833282470703,63.26017
-89.72222137451172,250.4166717529297,63.0826
-89.72222137451172,253.75,63.11956
-89.72222137451172,257.08331298828125,62.97187
-89.72222137451172,260.4166564941406,62.984337
-89.72222137451172,263.7499694824219,62.834282
-89.72222137451172,267.08331298828125,62.726463
-89.72222137451172,270.4166564941406,62.640045
-89.72222137451172,273.7499694824219,62.503273
-89.72222137451172,277.08331298828125,62.35359
-89.72222137451172,280.4166564941406,62.204487
-89.72222137451172,283.7499694824219,62.14314
-89.72222137451172,287.08331298828125,61.96291
-89.72222137451172,290.4166564941406,61.750164
-89.72222137451172,293.7499694824219,61.64971
-89.72222137451172,297.08331298828125,61.47212
-89.72222137451172,300.4166564941406,61.330334
-89.72222137451172,303.7499694824219,61.191414
-89.72222137451172,307.08331298828125,61.069237
-89.72222137451172,310.4166564941406,60.874596
-89.72222137451172,313.7499694824219,60.78654
-89.72222137451172,317.08331298828125,60.632423
-89.72222137451172,320.4166564941406,60.549755
-89.72222137451172,323.7499694824219,60.430397
