lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,66.2671
-89.72222137451172,3.75,65.8032
-89.72222137451172,7.0833330154418945,65.43991
-89.72222137451172,10.416666984558105,65.021
-89.72222137451172,13.75,64.65684
-89.72222137451172,17.083332061767578,64.40234
-89.72222137451172,20.41666603088379,64.17204
-89.72222137451172,23.749998092651367,63.956036
-89.72222137451172,27.083332061767578,63.637287
-89.72222137451172,30.41666603088379,63.34358
-89.72222137451172,33.75,63.164864
-89.72222137451172,37.08333206176758,62.84328
-89.72222137451172,40.41666793823242,62.76948
-89.72222137451172,43.75,62.69741
-89.72222137451172,47.08333206176758,62.402832
-89.72222137451172,50.41666793823242,62.385437
-89.72222137451172,53.75,62.24978
-89.72222137451172,57.08333206176758,61.992775
-89.72222137451172,60.41666793823242,61.9633
-89.72222137451172,63.75,61.932655
-89.72222137451172,67.08332824707031,61.927967
-89.72222137451172,70.41666412353516,61.89271
-89.72222137451172,73.74999237060547,61.959877
-89.72222137451172,77.08332824707031,62.19347
-89.72222137451172,80.41666412353516,62.489094
-89.72222137451172,83.74999237060547,62.854286
-89.72222137451172,87.08332824707031,63.09132
-89.72222137451172,90.41666412353516,63.382744
-89.72222137451172,93.74999237060547,63.78189
-89.72222137451172,97.08332824707031,64.05259
-89.72222137451172,100.41666412353516,64.72847
-89.72222137451172,103.74999237060547,65.41939
-89.72222137451172,107.08332824707031,65.557594
-89.72222137451172,110.41666412353516,66.027824
-89.72222137451172,113.74999237060547,66.45323
-89.72222137451172,117.08332824707031,66.97015
-89.72222137451172,120.41666412353516,67.32492
-89.72222137451172,123.74999237060547,67.708084
-89.72222137451172,127.08332824707031,68.05263
-89.72222137451172,130.4166717529297,68.42002
-89.72222137451172,133.75,68.80362
-89.72222137451172,137.0833282470703,69.136856
-89.72222137451172,140.4166717529297,69.43338
-89.72222137451172,143.75,69.74021
-89.72222137451172,147.0833282470703,70.033325
-89.72222137451172,150.4166717529297,70.30095
-89.72222137451172,153.75,70.531845
-89.72222137451172,157.0833282470703,71.09867
-89.72222137451172,160.4166717529297,71.294106
-89.72222137451172,163.75,72.03413
-89.72222137451172,167.0833282470703,72.33844
-89.72222137451172,170.4166717529297,72.66698
-89.72222137451172,173.75,72.730896
-89.72222137451172,177.0833282470703,72.669235
-89.72222137451172,180.4166717529297,72.5027
-89.72222137451172,183.75,72.731186
-89.72222137451172,187.0833282470703,72.81798
-89.72222137451172,190.4166717529297,72.75114
-89.72222137451172,193.75,72.85866
-89.72222137451172,197.0833282470703,72.775635
-89.72222137451172,200.4166717529297,72.749245
-89.72222137451172,203.75,72.70117
-89.72222137451172,207.0833282470703,72.46819
-89.72222137451172,210.4166717529297,72.395004
-89.72222137451172,213.75,72.21791
-89.72222137451172,217.0833282470703,72.30052
-89.72222137451172,220.4166717529297,71.97096
-89.72222137451172,223.75,71.924484
-89.72222137451172,227.0833282470703,71.87326
-89.72222137451172,230.4166717529297,71.95543
-89.72222137451172,233.75,71.76986
-89.72222137451172,237.0833282470703,71.61832
-89.72222137451172,240.4166717529297,71.654976
-89.72222137451172,243.75,71.71385
-89.72222137451172,247.0833282470703,71.80049
-89.72222137451172,250.4166717529297,71.67816
-89.72222137451172,253.75,71.58833
-89.72222137451172,257.08331298828125,71.408226
-89.72222137451172,260.4166564941406,71.56554
-89.72222137451172,263.7499694824219,71.41298
-89.72222137451172,267.08331298828125,71.32495
-89.72222137451172,270.4166564941406,71.30673
-89.72222137451172,273.7499694824219,71.20233
-89.72222137451172,277.08331298828125,71.2137
-89.72222137451172,280.4166564941406,71.12527
-89.72222137451172,283.7499694824219,71.29775
-89.72222137451172,287.08331298828125,71.166306
-89.72222137451172,290.4166564941406,70.894516
-89.72222137451172,293.7499694824219,70.82653
-89.72222137451172,297.08331298828125,70.783714
-89.72222137451172,300.4166564941406,70.6324
-89.72222137451172,303.7499694824219,70.45995
-89.72222137451172,307.08331298828125,70.42411
-89.72222137451172,310.4166564941406,70.123405
-89.72222137451172,313.7499694824219,69.844696
-89.72222137451172,317.08331298828125,69.63126
-89.72222137451172,320.4166564941406,69.34867
-89.72222137451172,323.7499694824219,69.130264
-89.72222137451172,327.08331298828125,68.87456
-89.72222137451172,330.4166564941406,68.6025
-89.72222137451172,333.7499694824219,68.43154
-89.72222137451172,337.08331298828125,68.06894
-89.72222137451172,340.4166564941406,67.97371
-89.72222137451172,343.7499694824219,67.79167
-89.72222137451172,347.08331298828125,67.561745
-89.72222137451172,350.4166564941406,67.258545
-89.72222137451172,353.7499694824219,66.94794
-89.72222137451172,357.08331298828125,66.53039
-87.5,0.4166666567325592,53.5971
-87.5,3.75,53.237602
-87.5,7.0833330154418945,53.705273
-87.5,10.416666984558105,52.177013
-87.5,13.75,51.340412
-87.5,17.083332061767578,51.65966
-87.5,20.41666603088379,51.85108
-87.5,23.749998092651367,52.34146
-87.5,27.083332061767578,52.583424
-87.5,30.41666603088379,53.284557
-87.5,33.75,53.69861
-87.5,37.08333206176758,54.123596
-87.5,40.41666793823242,54.024902
-87.5,43.75,53.286232
-87.5,47.08333206176758,52.375694
-87.5,50.41666793823242,50.711193
-87.5,53.75,49.120193
-87.5,57.08333206176758,47.109318
-87.5,60.41666793823242,45.31108
-87.5,63.75,43.877243
-87.5,67.08332824707031,43.486877
-87.5,70.41666412353516,42.36892
-87.5,73.74999237060547,42.342358
-87.5,77.08332824707031,41.016613
-87.5,80.41666412353516,39.594467
-87.5,83.74999237060547,39.273613
-87.5,87.08332824707031,39.128075
-87.5,90.41666412353516,38.99992
-87.5,93.74999237060547,39.100403
-87.5,97.08332824707031,39.326153
-87.5,100.41666412353516,39.26975
-87.5,103.74999237060547,39.48069
-87.5,107.08332824707031,39.741177
-87.5,110.41666412353516,40.586678
-87.5,113.74999237060547,40.830517
-87.5,117.08332824707031,41.325462
-87.5,120.41666412353516,41.43447
-87.5,123.74999237060547,40.54025
-87.5,127.08332824707031,40.675762
-87.5,130.4166717529297,41.225975
-87.5,133.75,41.597984
-87.5,137.0833282470703,42.164978
-87.5,140.4166717529297,42.050404
-87.5,143.75,41.70459
-87.5,147.0833282470703,41.23375
-87.5,150.4166717529297,41.890488
-87.5,153.75,42.262737
-87.5,157.0833282470703,41.37853
-87.5,160.4166717529297,41.18681
-87.5,163.75,42.684803
-87.5,167.0833282470703,45.84028
-87.5,170.4166717529297,52.984123
-87.5,173.75,61.693897
-87.5,177.0833282470703,69.793884
-87.5,180.4166717529297,76.70732
-87.5,183.75,80.15221
-87.5,187.0833282470703,80.22325
-87.5,190.4166717529297,79.327896
-87.5,193.75,79.65684
-87.5,197.0833282470703,80.98103
-87.5,200.4166717529297,83.386925
-87.5,203.75,85.529945
-87.5,207.0833282470703,86.68376
-87.5,210.4166717529297,84.64795
-87.5,213.75,80.42461
-87.5,217.0833282470703,76.169495
-87.5,220.4166717529297,73.71663
-87.5,223.75,74.694
-87.5,227.0833282470703,77.76798
-87.5,230.4166717529297,82.21365
-87.5,233.75,87.61145
-87.5,237.0833282470703,93.536156
-87.5,240.4166717529297,99.553185
-87.5,243.75,106.573044
-87.5,247.0833282470703,113.36604
-87.5,250.4166717529297,118.206436
-87.5,253.75,121.82915
-87.5,257.08331298828125,123.980835
-87.5,260.4166564941406,123.98152
-87.5,263.7499694824219,121.99205
-87.5,267.08331298828125,117.892944
-87.5,270.4166564941406,111.90056
-87.5,273.7499694824219,104.92554
-87.5,277.08331298828125,97.84058
-87.5,280.4166564941406,93.37956
-87.5,283.7499694824219,90.3599
-87.5,287.08331298828125,90.01412
-87.5,290.4166564941406,90.50816
-87.5,293.7499694824219,91.08876
-87.5,297.08331298828125,91.9301
-87.5,300.4166564941406,92.108734
-87.5,303.7499694824219,90.57035
-87.5,307.08331298828125,88.98634
-87.5,310.4166564941406,87.130295
-87.5,313.7499694824219,84.981125
-87.5,317.08331298828125,83.5314
-87.5,320.4166564941406,82.44512
-87.5,323.7499694824219,80.15654
-87.5,327.08331298828125,77.72406
-87.5,330.4166564941406,74.21879
-87.5,333.7499694824219,71.30113
-87.5,337.08331298828125,68.395706
-87.5,340.4166564941406,66.683426
-87.5,343.7499694824219,63.43178
-87.5,347.08331298828125,60.40401
-87.5,350.4166564941406,58.64732
-87.5,353.7499694824219,57.060066
-87.5,357.08331298828125,55.298676
-85.27777862548828,0.4166666567325592,51.235283
-85.27777862548828,3.75,49.919025
-85.27777862548828,7.0833330154418945,48.75022
-85.27777862548828,10.416666984558105,46.274464
-85.27777862548828,13.75,45.28341
-85.27777862548828,17.083332061767578,45.109703
-85.27777862548828,20.41666603088379,45.149696
-85.27777862548828,23.749998092651367,45.56325
-85.27777862548828,27.083332061767578,46.446655
-85.27777862548828,30.41666603088379,47.78971
-85.27777862548828,33.75,48.252472
-85.27777862548828,37.08333206176758,46.568184
-85.27777862548828,40.41666793823242,43.865135
-85.27777862548828,43.75,41.230927
-85.27777862548828,47.08333206176758,38.662186
-85.27777862548828,50.41666793823242,36.163673
-85.27777862548828,53.75,35.585136
-85.27777862548828,57.08333206176758,35.44896
-85.27777862548828,60.41666793823242,35.946426
-85.27777862548828,63.75,35.49819
-85.27777862548828,67.08332824707031,35.852276
-85.27777862548828,70.41666412353516,35.82756
-85.27777862548828,73.74999237060547,35.180763
-85.27777862548828,77.08332824707031,34.920135
-85.27777862548828,80.41666412353516,35.212154
-85.27777862548828,83.74999237060547,35.328423
-85.27777862548828,87.08332824707031,34.509377
-85.27777862548828,90.41666412353516,34.530567
-85.27777862548828,93.74999237060547,34.500893
-85.27777862548828,97.08332824707031,34.45125
-85.27777862548828,100.41666412353516,34.591026
-85.27777862548828,103.74999237060547,34.17447
-85.27777862548828,107.08332824707031,34.211323
-85.27777862548828,110.41666412353516,33.3029
-85.27777862548828,113.74999237060547,32.615284
-85.27777862548828,117.08332824707031,30.88296
-85.27777862548828,120.41666412353516,30.955524
