lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,56.96591
-89.72222137451172,3.75,56.69578
-89.72222137451172,7.0833330154418945,56.497272
-89.72222137451172,10.416666984558105,56.220684
-89.72222137451172,13.75,55.98297
-89.72222137451172,17.083332061767578,55.800037
-89.72222137451172,20.41666603088379,55.80622
-89.72222137451172,23.749998092651367,55.497612
-89.72222137451172,27.083332061767578,55.345684
-89.72222137451172,30.41666603088379,55.248116
-89.72222137451172,33.75,54.930016
-89.72222137451172,37.08333206176758,54.83239
-89.72222137451172,40.41666793823242,54.712837
-89.72222137451172,43.75,54.70359
-89.72222137451172,47.08333206176758,54.65282
-89.72222137451172,50.41666793823242,54.836628
-89.72222137451172,53.75,54.77259
-89.72222137451172,57.08333206176758,54.725536
-89.72222137451172,60.41666793823242,54.868988
-89.72222137451172,63.75,55.097298
-89.72222137451172,67.08332824707031,55.19744
-89.72222137451172,70.41666412353516,55.469612
-89.72222137451172,73.74999237060547,55.700634
-89.72222137451172,77.08332824707031,56.034046
-89.72222137451172,80.41666412353516,56.42379
-89.72222137451172,83.74999237060547,56.75047
-89.72222137451172,87.08332824707031,57.225586
-89.72222137451172,90.41666412353516,57.56554
-89.72222137451172,93.74999237060547,57.88501
-89.72222137451172,97.08332824707031,58.135704
-89.72222137451172,100.41666412353516,58.440857
-89.72222137451172,103.74999237060547,58.76911
-89.72222137451172,107.08332824707031,58.89866
-89.72222137451172,110.41666412353516,59.098755
-89.72222137451172,113.74999237060547,59.346172
-89.72222137451172,117.08332824707031,59.763294
-89.72222137451172,120.41666412353516,60.04488
-89.72222137451172,123.74999237060547,60.392273
-89.72222137451172,127.08332824707031,60.691902
-89.72222137451172,130.4166717529297,61.244152
-89.72222137451172,133.75,61.67875
-89.72222137451172,137.0833282470703,61.888733
-89.72222137451172,140.4166717529297,62.0548
-89.72222137451172,143.75,62.460938
-89.72222137451172,147.0833282470703,62.593163
-89.72222137451172,150.4166717529297,62.6084
-89.72222137451172,153.75,62.918518
-89.72222137451172,157.0833282470703,63.119007
-89.72222137451172,160.4166717529297,63.33848
-89.72222137451172,163.75,63.532948
-89.72222137451172,167.0833282470703,63.61922
-89.72222137451172,170.4166717529297,63.658386
-89.72222137451172,173.75,63.760174
-89.72222137451172,177.0833282470703,63.91565
-89.72222137451172,180.4166717529297,63.945477
-89.72222137451172,183.75,63.8919
-89.72222137451172,187.0833282470703,63.88567
-89.72222137451172,190.4166717529297,64.017006
-89.72222137451172,193.75,64.118385
-89.72222137451172,197.0833282470703,64.17135
-89.72222137451172,200.4166717529297,64.26755
-89.72222137451172,203.75,64.094406
-89.72222137451172,207.0833282470703,63.920544
-89.72222137451172,210.4166717529297,63.952873
-89.72222137451172,213.75,63.950897
-89.72222137451172,217.0833282470703,63.835297
-89.72222137451172,220.4166717529297,63.819622
-89.72222137451172,223.75,63.656628
-89.72222137451172,227.0833282470703,63.6044
-89.72222137451172,230.4166717529297,63.51241
-89.72222137451172,233.75,63.35916
-89.72222137451172,237.0833282470703,63.204018
-89.72222137451172,240.4166717529297,63.058594
-89.72222137451172,243.75,62.97278
-89.72222137451172,247.0833282470703,62.829765
-89.72222137451172,250.4166717529297,62.697247
-89.72222137451172,253.75,62.604565
