lat,lon,pr_total_mm
-89.72222137451172,0.4166666567325592,60.35722
-89.72222137451172,3.75,60.2901
-89.72222137451172,7.0833330154418945,60.174816
-89.72222137451172,10.416666984558105,59.942677
-89.72222137451172,13.75,59.6128
-89.72222137451172,17.083332061767578,59.43441
-89.72222137451172,20.41666603088379,59.223225
-89.72222137451172,23.749998092651367,58.96511
-89.72222137451172,27.083332061767578,58.93155
-89.72222137451172,30.41666603088379,58.661274
-89.72222137451172,33.75,58.548546
-89.72222137451172,37.08333206176758,58.33789
-89.72222137451172,40.41666793823242,58.29051
-89.72222137451172,43.75,58.386402
-89.72222137451172,47.08333206176758,58.2956
-89.72222137451172,50.41666793823242,58.34027
-89.72222137451172,53.75,58.355
-89.72222137451172,57.08333206176758,58.485878
-89.72222137451172,60.41666793823242,58.612144
-89.72222137451172,63.75,58.707745
-89.72222137451172,67.08332824707031,58.89738
-89.72222137451172,70.41666412353516,59.005787
-89.72222137451172,73.74999237060547,59.089134
-89.72222137451172,77.08332824707031,59.16696
-89.72222137451172,80.41666412353516,59.243614
-89.72222137451172,83.74999237060547,59.41339
-89.72222137451172,87.08332824707031,59.728844
-89.72222137451172,90.41666412353516,60.049065
-89.72222137451172,93.74999237060547,60.517937
-89.72222137451172,97.08332824707031,60.570747
-89.72222137451172,100.41666412353516,60.808186
-89.72222137451172,103.74999237060547,61.293354
-89.72222137451172,107.08332824707031,61.689198
-89.72222137451172,110.41666412353516,61.970085
-89.72222137451172,113.74999237060547,62.18993
-89.72222137451172,117.08332824707031,62.542957
-89.72222137451172,120.41666412353516,62.922966
-89.72222137451172,123.74999237060547,63.3455
-89.72222137451172,127.08332824707031,63.75703
-89.72222137451172,130.4166717529297,64.14741
-89.72222137451172,133.75,64.452354
-89.72222137451172,137.0833282470703,64.90732
-89.72222137451172,140.4166717529297,65.41896
-89.72222137451172,143.75,65.61612
-89.72222137451172,147.0833282470703,66.006454
-89.72222137451172,150.4166717529297,66.05089
-89.72222137451172,153.75,66.21417
-89.72222137451172,157.0833282470703,66.26062
-89.72222137451172,160.4166717529297,66.5329
-89.72222137451172,163.75,66.55357
-89.72222137451172,167.0833282470703,66.705185
-89.72222137451172,170.4166717529297,66.89978
-89.72222137451172,173.75,67.14279
-89.72222137451172,177.0833282470703,67.4424
-89.72222137451172,180.4166717529297,67.628334
-89.72222137451172,183.75,67.75716
-89.72222137451172,187.0833282470703,67.95449
-89.72222137451172,190.4166717529297,68.03424
-89.72222137451172,193.75,68.17575
-89.72222137451172,197.0833282470703,68.18593
-89.72222137451172,200.4166717529297,68.2538
-89.72222137451172,203.75,68.3545
-89.72222137451172,207.0833282470703,68.411514
-89.72222137451172,210.4166717529297,68.391464
-89.72222137451172,213.75,68.11447
-89.72222137451172,217.0833282470703,67.97654
-89.72222137451172,220.4166717529297,67.9551
-89.72222137451172,223.75,67.76864
-89.72222137451172,227.0833282470703,67.57066
-89.72222137451172,230.4166717529297,67.48238
-89.72222137451172,233.75,67.3091
-89.72222137451172,237.0833282470703,67.17477
-89.72222137451172,240.4166717529297,67.0544
-89.72222137451172,243.75,66.85826
-89.72222137451172,247.0833282470703,66.61036
-89.72222137451172,250.4166717529297,66.46601
-89.72222137451172,253.75,66.430885
-89.72222137451172,257.08331298828125,66.1668
-89.72222137451172,260.4166564941406,66.131355
-89.72222137451172,263.7499694824219,66.04699
-89.72222137451172,267.08331298828125,65.949844
-89.72222137451172,270.4166564941406,65.810196
-89.72222137451172,273.7499694824219,65.67814
-89.72222137451172,277.08331298828125,65.59489
-89.72222137451172,280.4166564941406,65.53723
-89.72222137451172,283.7499694824219,65.382935
-89.72222137451172,287.08331298828125,65.28372
-89.72222137451172,290.4166564941406,65.108025
-89.72222137451172,293.7499694824219,64.91257
-89.72222137451172,297.08331298828125,64.716965
-89.72222137451172,300.4166564941406,64.44733
-89.72222137451172,303.7499694824219,64.18835
-89.72222137451172,307.08331298828125,63.982586
-89.72222137451172,310.4166564941406,63.795418
-89.72222137451172,313.7499694824219,63.56153
-89.72222137451172,317.08331298828125,63.430836
-89.72222137451172,320.4166564941406,63.109955
-89.72222137451172,323.7499694824219,62.933308
-89.72222137451172,327.08331298828125,62.643383
-89.72222137451172,330.4166564941406,62.392933
-89.72222137451172,333.7499694824219,62.01248
-89.72222137451172,337.08331298828125,61.767677
-89.72222137451172,340.4166564941406,61.43528
-89.72222137451172,343.7499694824219,61.235344
-89.72222137451172,347.08331298828125,60.972878
-89.72222137451172,350.4166564941406,60.70993
-89.72222137451172,353.7499694824219,60.594616
-89.72222137451172,357.08331298828125,60.536785
-87.5,0.4166666567325592,51.413036
-87.5,3.75,50.525627
-87.5,7.0833330154418945,49.780365
-87.5,10.416666984558105,48.90521
-87.5,13.75,49.04326
-87.5,17.083332061767578,50.222622
-87.5,20.41666603088379,49.133854
-87.5,23.749998092651367,48.70026
-87.5,27.083332061767578,48.299183
-87.5,30.41666603088379,48.42622
-87.5,33.75,47.890457
-87.5,37.08333206176758,47.51301
-87.5,40.41666793823242,47.230904
-87.5,43.75,46.742973
-87.5,47.08333206176758,45.795788
-87.5,50.41666793823242,44.735157
-87.5,53.75,43.19921
-87.5,57.08333206176758,41.78756
-87.5,60.41666793823242,40.426476
-87.5,63.75,39.71065
-87.5,67.08332824707031,39.71679
-87.5,70.41666412353516,40.28615
-87.5,73.74999237060547,39.136406
-87.5,77.08332824707031,39.099533
-87.5,80.41666412353516,39.069767
-87.5,83.74999237060547,38.90969
-87.5,87.08332824707031,39.85997
-87.5,90.41666412353516,39.402702
-87.5,93.74999237060547,39.945
-87.5,97.08332824707031,40.237076
-87.5,100.41666412353516,40.53233
-87.5,103.74999237060547,40.599525
-87.5,107.08332824707031,41.27927
-87.5,110.41666412353516,41.033928
-87.5,113.74999237060547,42.647205
-87.5,117.08332824707031,41.97481
-87.5,120.41666412353516,42.004475
-87.5,123.74999237060547,42.37215
-87.5,127.08332824707031,42.86937
-87.5,130.4166717529297,43.665234
-87.5,133.75,44.576466
-87.5,137.0833282470703,45.029385
-87.5,140.4166717529297,45.428
-87.5,143.75,45.90319
-87.5,147.0833282470703,46.04586
-87.5,150.4166717529297,45.959488
-87.5,153.75,45.78428
-87.5,157.0833282470703,44.98952
-87.5,160.4166717529297,44.424866
-87.5,163.75,45.008312
-87.5,167.0833282470703,47.870537
-87.5,170.4166717529297,54.364784
-87.5,173.75,62.819633
-87.5,177.0833282470703,71.99856
-87.5,180.4166717529297,79.593956
-87.5,183.75,83.42853
-87.5,187.0833282470703,83.22983
-87.5,190.4166717529297,81.31328
-87.5,193.75,79.39078
-87.5,197.0833282470703,79.2917
-87.5,200.4166717529297,80.66285
-87.5,203.75,82.42529
-87.5,207.0833282470703,84.2053
-87.5,210.4166717529297,83.4834
-87.5,213.75,80.069725
-87.5,217.0833282470703,76.37767
-87.5,220.4166717529297,74.056244
-87.5,223.75,74.1933
-87.5,227.0833282470703,77.03614
-87.5,230.4166717529297,81.53817
-87.5,233.75,85.68825
-87.5,237.0833282470703,90.33708
-87.5,240.4166717529297,95.38267
-87.5,243.75,100.15822
-87.5,247.0833282470703,104.37681
-87.5,250.4166717529297,107.77824
-87.5,253.75,109.42699
-87.5,257.08331298828125,110.05287
-87.5,260.4166564941406,109.3905
-87.5,263.7499694824219,105.27499
-87.5,267.08331298828125,100.13999
-87.5,270.4166564941406,94.410965
-87.5,273.7499694824219,88.39472
-87.5,277.08331298828125,83.17424
-87.5,280.4166564941406,79.136475
-87.5,283.7499694824219,76.59038
-87.5,287.08331298828125,76.06697
-87.5,290.4166564941406,76.520905
-87.5,293.7499694824219,77.224556
-87.5,297.08331298828125,78.17269
-87.5,300.4166564941406,78.44956
-87.5,303.7499694824219,78.224014
-87.5,307.08331298828125,77.863785
-87.5,310.4166564941406,76.585976
-87.5,313.7499694824219,75.367455
-87.5,317.08331298828125,73.733536
-87.5,320.4166564941406,71.47921
-87.5,323.7499694824219,69.894424
-87.5,327.08331298828125,67.90339
